bvets motor noise table 0.01
0,0.000,0.000,0.000,0.000,0.000
3,0.258,0.000,0.000,0.000,0.000
6,0.258,0.000,0.000,0.000,0.000
10,0.182,0.182,0.000,0.000,0.000
14,0.000,0.258,0.000,0.000,0.000
17,0.000,0.253,0.050,0.000,0.000
20,0.000,0.182,0.182,0.000,0.000
24,0.000,0.000,0.258,0.000,0.000
28,0.000,0.000,0.258,0.000,0.000
31,0.000,0.000,0.258,0.000,0.000
35,0.000,0.000,0.182,0.182,0.000
39,0.000,0.000,0.000,0.258,0.000
45,0.000,0.000,0.000,0.258,0.000
51,0.000,0.000,0.000,0.258,0.000
55,0.000,0.000,0.000,0.182,0.182
59,0.000,0.000,0.000,0.000,0.258
65,0.000,0.000,0.000,0.000,0.253
80,0.000,0.000,0.000,0.000,0.241
110,0.000,0.000,0.000,0.000,0.215
