bvets motor noise table 0.01
0,0.000,0.000,0.000,0.000,0.000
3,0.300,0.000,0.000,0.000,0.000
6,0.300,0.000,0.000,0.000,0.000
10,0.212,0.212,0.000,0.000,0.000
14,0.000,0.300,0.000,0.000,0.000
17,0.000,0.294,0.059,0.000,0.000
20,0.000,0.212,0.212,0.000,0.000
24,0.000,0.000,0.300,0.000,0.000
28,0.000,0.000,0.300,0.000,0.000
31,0.000,0.000,0.300,0.000,0.000
35,0.000,0.000,0.212,0.212,0.000
39,0.000,0.000,0.000,0.300,0.000
45,0.000,0.000,0.000,0.300,0.000
51,0.000,0.000,0.000,0.300,0.000
55,0.000,0.000,0.000,0.212,0.212
59,0.000,0.000,0.000,0.000,0.300
65,0.000,0.000,0.000,0.000,0.294
80,0.000,0.000,0.000,0.000,0.280
110,0.000,0.000,0.000,0.000,0.250
