bvets motor noise table 0.01
0,0.000,0.000,0.000,0.000,0.000
3,0.937,0.000,0.000,0.000,0.000
6,1.027,0.000,0.000,0.000,0.000
10,1.147,1.075,0.000,0.000,0.000
14,0.000,1.187,0.000,0.000,0.000
17,0.000,1.271,0.810,0.000,0.000
20,0.000,1.356,0.864,0.000,0.000
24,0.000,0.000,0.938,0.000,0.000
28,0.000,0.000,1.014,0.000,0.000
31,0.000,0.000,1.072,0.000,0.000
35,0.000,0.000,1.148,0.969,0.000
39,0.000,0.000,0.000,1.033,0.000
45,0.000,0.000,0.000,1.131,0.000
51,0.000,0.000,0.000,1.229,0.000
55,0.000,0.000,0.000,1.294,1.066
59,0.000,0.000,0.000,0.000,1.120
65,0.000,0.000,0.000,0.000,1.200
80,0.000,0.000,0.000,0.000,1.402
110,0.000,0.000,0.000,0.000,1.805
